contract_address,Time
MarketContractFactoryMPX,0.3544747829437256
MintableToken,0.2024369239807129
Proposals,0.5177526473999023
onG,0.10796213150024414
RecoveryWithTenant,0.17072153091430664
PassManager,0.8063163757324219
LiveStarsToken,0.08260965347290039
RoT,0.012666702270507812
DimonCoin,0.07806110382080078
CargoXToken,0.3185770511627197
PillarToken,0.308582067489624
MusiconomiToken,0.2440485954284668
ICO,0.1958608627319336
EXNCEDistributor,0.056589603424072266
SafeMath,0.002469301223754883
EnclavesDEX,0.30335164070129395
DCAssetBackend,0.23060107231140137
AEToken,0.23130249977111816
DssProxyActionsEnd,0.07300424575805664
EARTHToken,0.18523883819580078
NANJCOIN,0.40279150009155273
AugustusSwapper,0.42504286766052246
RockPaperScissors,0.08374881744384766
Linfinity,0.08823060989379883
UselessEthTokenLite,0.20067787170410156
Authoreon,0.0691983699798584
TrackChain,0.22162842750549316
CVerificationToken,0.18250370025634766
WeBetCrypto,0.29695749282836914
UTNP,0.040196895599365234
DAOToken,0.22940731048583984
GithubHint,0.027904748916625977
BezantToken,0.21490716934204102
Laundromat,0.08194637298583984
TokenlonExchange,0.49025869369506836
MultiSender,0.07929873466491699
BaktFactory,0.5957725048065186
RobomedIco,1.2782354354858398
ExtraFinalizeAgent,0.03899121284484863
IProperty,0.028116226196289062
DGTX,0.8328053951263428
CreatorDaoCasinoToken,0.18538975715637207
WithCoin,0.20516061782836914
eosDACToken,0.10808348655700684
SafeBlocksProxy,0.15181303024291992
ProxyNemodax,0.1281108856201172
EtherShareReward,4.960687875747681
VotingCenter,0.07155942916870117
Funding,0.24018263816833496
FunCoin,0.23077702522277832
UIOCOIN,0.20232367515563965
GBBCOIN,0.13910770416259766
InchainICO,0.05214858055114746
AddressNames,0.11625146865844727
TokenEmission,0.09280562400817871
Kamera,0.08482742309570312
BitUPToken,0.1987931728363037
AMLToken,0.4413471221923828
Havven,0.4354243278503418
SantimentWhiteList,0.034941673278808594
UniswapV2Factory,0.34917569160461426
OPL,0.20676469802856445
GSDToken,0.03460049629211426
OneWorldOnlineToken,0.21447205543518066
ProofOfIdleness,0.017505645751953125
CarboneumToken,0.09827303886413574
ERC20Token,0.17811274528503418
LockChain,0.13669776916503906
SPHTX,0.11943411827087402
DexdexERC20,0.08187484741210938
SirinSmartToken,0.20825624465942383
Oversight,0.07908916473388672
Coinchangex,0.33754682540893555
VibeToken,0.16592144966125488
SocialLendingToken,0.42000842094421387
ATT,0.3754281997680664
RedPillToken,0.03836941719055176
AdBank,0.0796346664428711
DCAsset,0.16925907135009766
PreICO,0.023976564407348633
SwarmRedistribution,0.22354769706726074
STASHToken,0.09912991523742676
JoyToken,0.11105847358703613
EthereumCenturion,0.10640931129455566
DigitalEnthusiasts,0.18199634552001953
StablyFiatToken,0.26381468772888184
PersianTokenICO,0.08373904228210449
Beth,0.24131417274475098
BsToken_SNOV,0.31127381324768066
StakePoolICO,0.39182019233703613
ExchangeEfx,0.2708170413970947
MacroProxyContract,0.1389155387878418
NewDecentBetToken,0.49645209312438965
madrachip,0.06121563911437988
dexBlue,1.210268497467041
Deposit,0.018582582473754883
CertifierDb,0.023984670639038086
TeamToken,0.28949904441833496
mortal,0.005313396453857422
CryptloDex,0.2220621109008789
VIcoin,0.15825247764587402
CrowdsaleToken,0.35179758071899414
CodexRecordProxy,0.20467782020568848
AMIS,0.20888566970825195
DTE,0.33011841773986816
SeratioCoin,0.15111994743347168
EGYPTOKEN,0.12636303901672363
History,0.1875905990600586
TheCoin,0.13701081275939941
OrderGateway,0.1996150016784668
Bionic,0.19064784049987793
LATToken,0.1583113670349121
PassFundingCreator,0.2903568744659424
storadge,0.006739377975463867
TokenBBBasic,0.19490861892700195
BlockvToken,0.22399425506591797
SMT,0.27861714363098145
AirSwapExchange,0.05087614059448242
MiniMeTokenFactory,0.2570338249206543
RTokenMain,0.29561471939086914
EstateRegistry,0.5200574398040771
GLAToken,0.24678277969360352
SpiceRates,0.025623559951782227
MacroTokenContract,0.3781566619873047
PassContractorCreator,0.3511202335357666
CyberMilesToken,0.09337234497070312
MooncatListing,0.18461871147155762
TracToken,0.37574291229248047
BananaBasket,0.025346994400024414
SuperEdge,0.17740797996520996
RrcToken,0.11108613014221191
MultiAccess,0.20786404609680176
DIVXToken,0.24721884727478027
SunContractToken,0.2271583080291748
TestToken,0.028995513916015625
IntelligentTradingTechnologies,0.11099934577941895
TokenShredder,0.0031003952026367188
RoundToken,0.1267697811126709
GenesisToken,0.03973674774169922
FundingInputMilestone,0.015484333038330078
StatusBuyer,0.04267239570617676
Campaign,0.1251087188720703
IoTeXNetwork,0.07245206832885742
SingularDTVToken,0.03841900825500488
TopToken,0.18845200538635254
Arith,2.268421173095703
TripAlly,0.10737395286560059
Lescovex_ISC,0.38132286071777344
BRM,0.12817835807800293
EternalStorageProxyForStormMultisender,0.043471336364746094
EZToken,0.32628750801086426
CodexCoin,0.11333203315734863
EC,0.03956723213195801
Bussiness,0.5155556201934814
SaifuToken,0.31570887565612793
Ethex,0.33531641960144043
PriceOracleInterface,0.03063488006591797
IntegrativeWalletToken,0.2409660816192627
SpringNFT,0.6234183311462402
eBitcoinCash,0.09921789169311523
Registry,0.2241199016571045
SafePromo,0.12086296081542969
TrueFlipToken,0.1616218090057373
AgriChainMasterContract,0.09916853904724121
Slot,0.2390885353088379
DMToken,0.21854448318481445
BancorBuyer,0.11805868148803711
MainstreetCrowdfund,0.1736891269683838
PresaleFundCollector,0.05883526802062988
HackDao,0.09413504600524902
HashnodeTestCoin,0.2808501720428467
NekoToken,0.2919776439666748
TronToken,0.13552093505859375
ERC721MarginPosition,0.43580150604248047
MANToken,0.2565450668334961
CNNToken,0.15456342697143555
GolemNetworkTokenWrapped,0.14975333213806152
EtherGame,0.008245706558227539
QMQCoin,0.1521139144897461
_0xBitcoinCash,0.48953676223754883
ProxyRegistry,0.026285409927368164
IungoToken,0.24188518524169922
LinoToken,0.0628974437713623
ForestingToken,0.17794251441955566
InviteCollateralizer,0.07107210159301758
owContract,0.671811580657959
HCHToken,0.24391984939575195
ArtifactCoin,0.5347104072570801
