contract_address,malicious
75aa81161e07483f6ca199fef46c13eb13d190be,1
a850e6f693b9bcb31df3ee44e7888ef19e608107,1
3ab274f835d1939d20d0bbb72a1fb513d7a7a675,1
a26b0a2fc7702ac3cdd4d578df7ef87ecf17908e,1
0f170120733474c6ec7daf6ae6aeeeb8b645e92c,1
4398a4a10347d8f18029c07853a7a689eebbb925,1
be181da06d93867af0a3ffadcebe345ec35dae4e,1
f184279e6d4654890b4410cf300ed55600f018be,1
c07ec6b6e3783b6855d000e104e44b3f86bbfc22,1
3e84512f277a5081b9209831c51bce665035d9db,1
ebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,1
bb9854bfd082c48b4d426ac6a2a152b01326f46f,1
a0f9fb2170dc2d181ef8aaf3571dc441813e0154,1
143e8bd26d95b230680c25300f93ef56f86eccac,1
9d5bdaa9d82782c03402dd5c675ae3e45b3102e2,1
8f13a1d43408b6434dd10e161361386f3952d665,1
ea06c9cb0d69058468387f283e9a3f61c53e3c21,1
56467e038871dc7f2a6180cdebe1702cef77285f,1
51170b18bca7896b49c52dcc18e66e5c921e100f,1
1368e088682b3ea455c4856297365542ca6828d8,1
9758da9b4d001ed2d0df46d25069edf53750767a,1
5158cf97c3e001b402ccb0f9063736ee8d6dad5a,1
1ce7986760ade2bf0f322f5ef39ce0de3bd0c82b,1
16a4ff536001405f2b0d7ddafc79f6a10d024640,1
43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,1
8d734806913e445ee1be523aa0e84e4664fff481,1
5a437d94843541d5cb83221a4a4b253de30b97b7,1
f767fca8e65d03fe16d4e38810f5e5376c3372a8,1
1213c29b5e1a6f33e0d044f850a57b665e3cde21,1
3325439082ff8ba7371dfdaa1af297bbfcac21b2,1
99925cc9a57f5e473ff22314cfe0627a0bfcceb4,1
60acd43314d93f38507f3fd12e84225a5a099229,1
f835b307bc5348194ae01ed729170c84217ba688,1
ba6284ca128d72b25f1353fadd06aa145d9095af,1
dcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,1
4fb663c1616bfe80b5b6d5a214efa81d5a121801,1
ba69e7c96e9541863f009e713caf26d4ad2241a0,1
870fe80e76dae4a4c12690dec52456ab13176202,1
cd6608b1291d4307652592c29bff7d51f1ad83d7,1
1bb6123913d0b48948de38c3b75fd3eb3b4fe7e3,1
be46324018124b2d604c2f3eae91d3de9b388b09,1
4229a873bbd207deef8f41e807e563c26033d118,1
5e84c1a6e8b7cd42041004de5cd911d537c5c007,1
2a53f42ad8bba138c21b50a4e5711f18381a61e9,1
c58492b3b14f658adff566c988029308505f81b5,1
e19e5f100d6a31169b5dca265c9285059c41d4f6,1
da922e473796bc372d4a2cb95395ed17af8b309b,1
dc84953d7c6448e498eb3c33ab0f815da5d13999,1
6b62497fc36e1f47c4c2d9f29fdf28cc3ebed72d,1
80d9c4f6209044de069c545f68644419b520a02f,1
316201f586706aaa2795bc2a3f0bad2379c363e4,1
ee462a6717f17c57c826f1ad9b4d3813495296c9,1
258d778e4771893758dfd3e7dd1678229320eeb5,1
a864694cacdf27900afb3c32b1b07aea3c465dde,1
750241c16c9fb878a7afd2b07b80f53e02c3f634,1
f70ce1be9685b0cfb531bc712d3faace858b5bfb,1
fe3672eff595cfd36ed05aaf4622d1aec3b5e852,1
f93ca51746ce6e1cc2485c534eebe71ae987a7ad,1
43e49c79172a1be3ebb4240da727c0da0fa5d233,1
827ce5d8943d69c8538cd5662daf72be52176ed6,1
a379bbdd0af814502eb9b38d475c7fa7411bb4ec,1
83651a62b632c261442f396ad7202fe2a4995e3a,1
26c4e381ffbdc825be9b986c3ba40525f0771e8d,1
a83c4a6d0418074655bdbe74fed8435c46c19f66,1
feeb8a968f0d7fd58e29fbfc525051f50ee2fedc,1
7d3ae940eb73dc9131758ad2e326c7d863b0916a,1
245233bc8604d2097bfcbf3338959c46da04d9e0,1
a502f8112b2491718855f01a01a60462cc97a0d5,1
7894ccf2997c8c89a80b86faa012d09d53ed48b9,1
89c2352cb600df56fe4bfb5882caadef3e96213f,1
79c039d075bc3b86a7df63ebbe55fbc642b5220f,1
446d1696a5527018453cda3d67aa4c2cd189b9f6,1
f45717552f12ef7cb65e95476f217ea008167ae3,1
f7070fc72e2b92c6309785a39338d7c919a3cf4a,1
275498d1fb7ffb5b521f89b23c84224af9f96ea6,1
687a241422c92e3d15ce6a02c832f800b74c8b3c,1
3ae8b3ae07cb09f4ca2b6250eec03d016017755e,1
f77ac34cd0ed42f2b5d8cfcf4fa0f4bb1b80b9d8,1
37b53b46fa74ac3f9b4340dc5a39aabb0f2afa33,1
109c4f2ccc82c4d77bde15f306707320294aea3f,1
723dff0e27cc38b80556f5e05dfdbdcb721654d7,1
e1388626c8de5fd7e5683a83d8da6a34153e9b18,1
0389a06b028526b05966c287370bebefa0082176,1
49f053b866c33185fa1151e71fc80d5fe6b08a92,1
a259e6bcade86c770cb5214c789ee107662831a6,1
062524205ca7ecf27f4a851edec93c7ad72f427b,1
24ec083b6a022099003e3d035fed48b9a58296e5,1
9da7902394fb19ddd340d47398d35e3405bf79ec,1
f243688304fa4f6c6efadc22b9c1dd009aa76650,1
9d3899df1d9f030a32dd5571fe3c7ef72d6ae566,1
1492cdd605d91658f228eab14d8444b60e6da8df,1
e861ad00aed0f04b41c675ec1c1493d2ebcbe776,1
caaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,1
4668cd871eba35997e1fbe66d0eddf6612d018ce,1
9d31ff892f984a83e8b342a5ece8e8911ed909e0,1
f1aa63ad7a897ca02cab6021513ee0a86820153e,1
41f2d5040726c5328f8366f17041ec012ac8f338,1
c357a046c5c13bb4e6d918a208b8b4a0ab2f2efd,1
a39fcb48adf288f143459d57a1a0756718c919ae,1
d361e374be9e3907fceac60c6ea5cbdce89fc9ae,1
9f1d916a456b96146e9f0dbbd0e107a1f389a061,1
e4c1c33ed635263c61bf61db751b8a74ee3af0e4,1
a9e4e3b1da2462752aea980698c335e70e9ab26c,1
d12d8f8dfa54f1578b2177f99b2e282367b66b13,1
fba6ae30dfe97b20ad9ecccd5057ab3e5a1c41fa,1
4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,1
007d42b9192b8c087b0d3e6ef73aae48e74b41c1,1
422f8015c5d8168edee923749701360a8a4d0703,1
19a6067538c90973ef5dc31ded5fa567f3d09059,1
b1d58bad78f33892719cdeba218f8641a71a3f05,1
